Keywords,These are keywods (lowercase) to be used to tag training materials in TeSS and also as search terms in TeSS
action,
advanced,
analysis code,
automation,
bandit,
bearer,
benchmarking,
better software,
c,
c++,
cd,
cff,
cffinit,
ci,
ci cd,
ci/cd,
cmake,
code citation,
code test,
code testing,
codemeta,
codemeta generator,
collaborative environment,
computational workflow,
container,
continuous integration,
cookiecutter,
creative commons license chooser,
data analysis,
debugging,
dependabot,
docker,
documentation,
doxygen,
dvc,
f-uji,
fair,
fair python cookiecutter,
fairness,
flexibility,
functional suitability,
git,
github,
github pages,
gitlab,
gitlab cicd,
gitlab pages,
gnu guix,
good practices,
good software practices,
hermes,
hermes workflow,
howfairis,
hpc,
hugo,
ide,
integrated development environment,
interaction capability,
intermediate,
javadoc,
jenkins,
julia,
junit,
jupyter,
kubernetes,
library,
licence,
license,
logging,
maintainability,
matlab,
metadata,
mkdocs,
module,
nix,
novice,
optimisation,
optimization,
organising software project,
package,
package code,
package software,
packaging,
packaging code,
packaging software,
pelican,
performance efficiency,
playwright,
podman,
profiling,
programming language,
prototype tool,
publishing code,
pytest,
python,
r,
read the docs,
readability,
readable code,
readable code,
readme,
readthedocs,
read the docs,
release,
release code,
release software,
releasing code,
releasing software,
reliability,
reproducibility,
reproducible,
reproducible environment,
research infra software,
research software engineering,
reusability,
reusable code,
reusable software,
reuse,
rpm package manager,
scanoss,
score-p,
security,
selenium,
sharing code,
singularity,
software citation,
software documentation,
software engineering,
software heritage,
software infrastructure,
software metadata,
software project,
software test,
software testing,
software tool,
somef,
somesy,
sonarqube,
source control,
source control,
sphinx,
sqaaas,
statistic code analysis,
statistical,
sustainability,
testing,
tox,
travis ci,
venv,
version control,
virtual environment,
workflow,
zenodo,
