Resource,Scientific cluster or domain,Topic,Software quality dimensions,Resource type,Notes,Title,URLfetcher,URL,Description,Keywords,Resource type(s),Scientific Topics,Licence,Status,DOI,Version,Authors,Contributors,Target audiences,Prerequisites,Competency level,Learning objectives,Date created,Date modified,Date published,Nodes,External resources
Intermediate Research Software Development (Python),General,,"Flexibility, Maintainability, Sustainability, FAIRness, Reliability","individual training resource (course, handbook, article, guide, tutorial)","DG: Pages where RSQKit should be linked: reproducible_software_environments, using_version_control, testing_software, ci_cd, task_automation_github_actions, releasing_software",Intermediate Research Software Development (Python),https://carpentries-incubator.github.io/python-intermediate-development/,https://carpentries-incubator.github.io/python-intermediate-development/,"A core set of established, intermediate-level software development skills and best practices for working as part of a team in a research environment using Python as an example programming language.","programming language, python, intermediate, software engineering, testing, debugging, version control, continuous integration, packaging code, releasing code, integrated development environment, IDE, virtual environment, git, github, good practices, action, CI/CD, automation, reproducible environment",course,research software development,CC-BY 4.0,Published,https://doi.org/10.5281/zenodo.6532056,beta-Nov2024,"Aleksandra Nenadic, Steve Crouch, Thomas Kile, Raniere Silv, François Michonnea, Maxim Belkin, James Graham, Greg Wilson, Matthew, Toby Hodges, Zhian N. Kamvar, Sven van der Burg, Abby Cabunoc Mayes, JacalynLair, Sarah Stevens, Katrin Leinweber, Erin Becker, João Rodrigues, Douglas Lowe, Sam Mangham, Rayna M Harris, Matthew Blutea, Renato Alv, Sander van Rijn, Rémi Emon, David Mawdsley, Piotr Banaszkiewi, Jemma Stachelek, Giulia Crocion, William L. Close","anenadic, steve-crouch, thomaskileyukaea, bielsnohr, jag1g13, tobyhodges, svenvanderburg, JacalynLaird, sstevens2, douglowe, smangham, knarrff, sjvrijn, gcroci2, hsaunders1904, tomneep, unode, danielskatz, amangoel185, wk9874, jreeve-nv, gkmurphy, sverchkov, shartleybham-acuk, gadgil48, olexandr-konovalov, martinjrobins, kzscisoft, k-collie, guyer",research software engineers,"Git, Python, Shell",beginner,"Document and structure your software, collaborate to develop, prepare software for others to use.",2020-04-22T14:47:31Z,2025-07-20T17:42:28Z,,UK's Software Sustainability Institute,
Alan Turing Institute - Research Software Engineering with Python,General,,"Functional suitability, Interaction capability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Alan Turing Institute - Research Software Engineering with Python,https://alan-turing-institute.github.io/rse-course/html/index.html,https://alan-turing-institute.github.io/rse-course/html/index.html,"In this course, you will move beyond programming, to learn how to construct reliable, readable, efficient research software in a collaborative environment. The emphasis is on practical techniques, tips, and technologies to effectively build and maintain complex code. This is a relatively short course (8-10 half-day modules) which is intensive and involves hands-on exercises.","research software engineering, programming language, python, collaborative environment",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"“Good
Enough Practices in Scientific Computing” course",General,,"FAIRness, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,"“Good
Enough Practices in Scientific Computing” course",https://carpentries-lab.github.io/good-enough-practices/index.html,https://carpentries-lab.github.io/good-enough-practices/index.html,"This lesson is targeted at a broad audience of researchers who want to learn how to be more efficient and effective in their data analysis and computing, whatever their career stage. ","readable code, data analysis, computing, research, data management, collaboration, project organization, manuscripts",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Five recommendations for FAIR software, by the Netherlands eScience Center and DANS",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Five recommendations for FAIR software, by the Netherlands eScience Center and DANS",https://fair-software.eu/,https://fair-software.eu/,"Five recommendations for FAIR software, by the Netherlands eScience Center and DANS","fair, version control, license, registry, repository, citation, checklist",course,research software development,,Published,,,,,research software engineers,,,,,,,,
A self-assessment checklist for FAIR research software,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,A self-assessment checklist for FAIR research software,https://fairsoftwarechecklist.net/,https://fairsoftwarechecklist.net/,A self-assessment checklist for FAIR research software,"fair, self-assessment, checklist, research software",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"Open source definition, by the Open Source
Initiative",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Open source definition, by the Open Source
Initiative",https://opensource.org/osd/,https://opensource.org/osd/,A ten-point description of Open Source by the open source initiative®.,"open source, code, license, software",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"CodeRefinery:
Reproducible research - preparing code to be usable by you and others in
the future",General,,"FAIRness, Functional suitability, Compatibility","individual training resource (course, handbook, article, guide, tutorial)",,"CodeRefinery:
Reproducible research - preparing code to be usable by you and others in
the future",https://coderefinery.github.io/reproducible-research/,https://coderefinery.github.io/reproducible-research/,"In this lesson we will explore different methods and tools for better reproducibility in research software and data. We will demonstrate how version control, workflows, containers, and package managers can be used to record reproducible environments and computational steps for our future selves and others.","readable code, organise software project, reproducible environment",course,research software development,,Published,,,,,research software engineers,,,,,,,,
Top 10 FAIR Data & Software Things,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,Top 10 FAIR Data & Software Things,https://librarycarpentry.org/Top-10-FAIR/,https://librarycarpentry.org/Top-10-FAIR/,Brief guides for different disciplines that can be used by the research community to understand how they can make their research (data and software) more FAIR,"fair, data, research software engineers",course,research software development,,Published,,,,,research software engineers,,,,,,,,
"The FAIR Cookbook, online recipes for life scientists that help make and keep data FAIR",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"The FAIR Cookbook, online recipes for life scientists that help make and keep data FAIR",https://faircookbook.elixir-europe.org/content/home.html,https://faircookbook.elixir-europe.org/content/home.html,"An online, open and live resource for the Life Sciences with recipes that help you to make and keep data Findable, Accessible, Interoperable and Reusable; in one word FAIR. ","fair, life sciences, infrastructure, assessment",course,research software development,,Published,,,,,research software engineers,,,,,,,,
10 easy things to make your research software FAIR,General,,"FAIRness, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,10 easy things to make your research software FAIR,https://librarycarpentry.org/Top-10-FAIR/files/poster_10things_FAIRsoftware.pdf,https://librarycarpentry.org/Top-10-FAIR/files/poster_10things_FAIRsoftware.pdf,Ten easy things to make your software FAIR.,"fair, software",course,research software development,,Published,,,,,research software engineers,,,,,,,,
